Date,Stock,Action,Close
25/07/19,NFLX,Buy,326.46
18/07/19,NFLX,Sell,325.21
17/07/19,GOOGL,Buy,57.34
16/07/19,AMZN,Buy,100.5
10/07/19,GOOGL,Sell,57.05
08/07/19,NFLX,Buy,376.16
08/07/19,GOOGL,Buy,55.84
03/07/19,GOOGL,Sell,56.15
02/07/19,AMZN,Sell,96.72
01/07/19,NFLX,Sell,374.6
24/06/19,GOOGL,Buy,55.83
20/06/19,GOOGL,Sell,55.66
19/06/19,AMZN,Buy,95.44
19/06/19,GOOGL,Buy,55.23
18/06/19,GOOGL,Sell,55.26
14/06/19,NFLX,Buy,339.73
14/06/19,AMZN,Sell,93.48
13/06/19,NFLX,Sell,343.43
12/06/19,NFLX,Buy,345.56
12/06/19,AAPL,Buy,46.92
12/06/19,AMZN,Buy,92.77
11/06/19,NFLX,Sell,351.27
10/06/19,AMZN,Sell,93.03
10/06/19,META,Buy,174.63
07/06/19,AAPL,Sell,45.94
04/06/19,AAPL,Buy,43.4
31/05/19,NFLX,Buy,343.28
31/05/19,GOOGL,Buy,55.33
31/05/19,AMZN,Buy,88.75
29/05/19,META,Sell,182.0
29/05/19,NFLX,Sell,349.19
28/05/19,NFLX,Buy,355.06
28/05/19,META,Buy,184.11
23/05/19,NFLX,Sell,352.21
23/05/19,GOOGL,Sell,57.27
23/05/19,META,Sell,180.68
22/05/19,AMZN,Sell,92.98
15/05/19,GOOGL,Buy,58.54
15/05/19,AMZN,Buy,93.56
15/05/19,NFLX,Buy,354.99
13/05/19,AMZN,Sell,91.13
10/05/19,AAPL,Sell,47.64
10/05/19,GOOGL,Sell,58.38
09/05/19,GOOGL,Buy,58.4
09/05/19,NFLX,Sell,362.75
06/05/19,AMZN,Buy,97.53
06/05/19,GOOGL,Sell,59.67
03/05/19,AMZN,Sell,98.12
03/05/19,GOOGL,Buy,59.48
01/05/19,GOOGL,Sell,58.67
24/04/19,AMZN,Buy,95.09
24/04/19,GOOGL,Buy,63.0
23/04/19,NFLX,Buy,381.89
16/04/19,AMZN,Sell,93.15
16/04/19,GOOGL,Sell,61.6
12/04/19,NFLX,Sell,351.14
09/04/19,AMZN,Buy,91.79
05/04/19,GOOGL,Buy,60.57
04/04/19,GOOGL,Sell,60.97
03/04/19,AMZN,Sell,91.04
01/04/19,NFLX,Buy,366.96
27/03/19,NFLX,Sell,353.37
22/03/19,AMZN,Buy,88.24
22/03/19,GOOGL,Buy,60.38
20/03/19,META,Buy,165.26
19/03/19,GOOGL,Sell,60.12
18/03/19,META,Sell,160.3
18/03/19,AMZN,Sell,87.11
12/03/19,GOOGL,Buy,59.86
11/03/19,AAPL,Buy,43.06
11/03/19,GOOGL,Sell,58.96
07/03/19,AAPL,Sell,41.52
07/03/19,GOOGL,Buy,57.54
06/03/19,AMZN,Buy,83.45
04/03/19,AMZN,Sell,84.81
01/03/19,GOOGL,Sell,57.43
13/02/19,AMZN,Buy,82.0
13/02/19,NFLX,Buy,351.77
12/02/19,NFLX,Sell,359.97
11/02/19,AMZN,Sell,79.55
06/02/19,GOOGL,Buy,56.14
05/02/19,GOOGL,Sell,57.59
29/01/19,AAPL,Buy,37.07
28/01/19,AAPL,Sell,37.46
22/01/19,GOOGL,Buy,53.93
17/01/19,GOOGL,Sell,54.96
16/01/19,NFLX,Buy,351.39
15/01/19,AMZN,Buy,83.73
15/01/19,GOOGL,Buy,54.33
14/01/19,AMZN,Sell,80.86
14/01/19,GOOGL,Sell,52.58
11/01/19,AMZN,Buy,82.03
10/01/19,AAPL,Buy,36.86
08/01/19,NFLX,Sell,320.27
07/01/19,AMZN,Sell,81.48
04/01/19,META,Buy,137.8
04/01/19,GOOGL,Buy,53.9
03/01/19,GOOGL,Sell,51.27
03/01/19,AAPL,Sell,34.08
03/01/19,META,Sell,131.6
31/12/18,NFLX,Buy,267.66
31/12/18,AAPL,Buy,37.8
31/12/18,META,Buy,130.95
28/12/18,AMZN,Buy,73.9
28/12/18,META,Sell,133.06
26/12/18,AMZN,Sell,73.54
26/12/18,NFLX,Sell,253.67
26/12/18,META,Buy,134.04
21/12/18,META,Sell,124.82
20/12/18,META,Buy,133.26
19/12/18,META,Sell,133.1
19/12/18,AMZN,Buy,74.75
18/12/18,META,Buy,143.51
17/12/18,META,Sell,140.04
14/12/18,AMZN,Sell,79.6
13/12/18,AMZN,Buy,82.92
13/12/18,META,Buy,144.86
12/12/18,META,Sell,144.35
11/12/18,AMZN,Sell,82.16
10/12/18,META,Buy,141.7
07/12/18,META,Sell,137.27
06/12/18,AAPL,Sell,41.87
04/12/18,GOOGL,Buy,53.12
28/11/18,AAPL,Buy,43.36
28/11/18,GOOGL,Sell,54.59
27/11/18,META,Buy,134.86
27/11/18,AMZN,Buy,79.07
26/11/18,AMZN,Sell,79.07
23/11/18,AMZN,Buy,75.1
21/11/18,NFLX,Buy,262.13
16/11/18,META,Sell,139.38
13/11/18,AMZN,Sell,81.56
09/11/18,NFLX,Sell,303.47
02/11/18,AMZN,Buy,83.28
02/11/18,AAPL,Sell,49.55
01/11/18,NFLX,Buy,317.38
31/10/18,AAPL,Buy,52.27
26/10/18,AMZN,Sell,82.14
26/10/18,AAPL,Sell,51.66
25/10/18,AMZN,Buy,89.11
25/10/18,AAPL,Buy,52.49
24/10/18,AAPL,Sell,51.37
23/10/18,AMZN,Sell,88.43
22/10/18,AAPL,Buy,52.69
22/10/18,AMZN,Buy,89.46
19/10/18,AMZN,Sell,88.2
19/10/18,NFLX,Sell,332.67
19/10/18,AAPL,Sell,52.37
17/10/18,NFLX,Buy,364.7
17/10/18,AMZN,Buy,91.59
16/10/18,AAPL,Buy,53.05
10/10/18,NFLX,Sell,325.89
10/10/18,AAPL,Sell,51.67
04/10/18,GOOGL,Buy,58.85
03/10/18,GOOGL,Sell,60.58
02/10/18,GOOGL,Buy,60.38
02/10/18,AMZN,Sell,98.57
28/09/18,META,Buy,164.29
27/09/18,GOOGL,Sell,60.37
27/09/18,META,Sell,168.66
11/09/18,NFLX,Buy,355.93
10/09/18,NFLX,Sell,348.41
07/09/18,NFLX,Buy,348.68
05/09/18,NFLX,Sell,341.18
30/08/18,GOOGL,Buy,62.72
29/08/18,GOOGL,Sell,63.23
28/08/18,GOOGL,Buy,62.29
27/08/18,GOOGL,Sell,62.81
27/08/18,AAPL,Buy,52.05
